"game_id","season","week","home_team_name","away_team_name"
232402459,2003,2,"Northern Illinois","Maryland"
232490087,2003,3,"Notre Dame","Washington State"
232490153,2003,3,"North Carolina","Syracuse"
232490218,2003,3,"Temple","Villanova"
232560150,2003,4,"Duke","Rice"
232560194,2003,4,"Ohio State","NC State"
232630142,2003,5,"Missouri","Middle Tennessee"
232632132,2003,5,"Cincinnati","Temple"
232700012,2003,6,"Arizona","TCU"
232700025,2003,6,"California","USC"
232700333,2003,6,"Alabama","Arkansas"
232702633,2003,6,"Tennessee","South Carolina"
232772459,2003,7,"Northern Illinois","Ohio"
232840038,2003,8,"Colorado","Kansas"
232840084,2003,8,"Indiana","Northwestern"
232840228,2003,8,"Clemson","Virginia"
232910026,2003,9,"UCLA","California"
232980333,2003,10,"Alabama","Tennessee"
233050096,2003,11,"Kentucky","Arkansas"
233190052,2003,13,"Florida State","NC State"
233190194,2003,13,"Ohio State","Purdue"
233190218,2003,13,"Temple","Virginia Tech"
233590062,2003,1,"Hawai'i","Houston"
240012509,2003,1,"Purdue","Georgia"
242462628,2004,2,"TCU","Northwestern"
242480099,2004,2,"LSU","Oregon State"
242480228,2004,2,"Clemson","Wake Forest"
242542390,2004,3,"Miami","Florida State"
242620145,2004,4,"Ole Miss","Vanderbilt"
242620277,2004,4,"West Virginia","Maryland"
242690221,2004,5,"Pittsburgh","Furman"
242760077,2004,6,"Northwestern","Ohio State"
242760152,2004,6,"NC State","Wake Forest"
242830077,2004,7,"Northwestern","Indiana"
242900221,2004,8,"Pittsburgh","Boston College"
242970245,2004,9,"Texas A&M","Colorado"
243040130,2004,10,"Michigan","Michigan State"
243040239,2004,10,"Baylor","Texas A&M"
243110183,2004,11,"Syracuse","Pittsburgh"
243112390,2004,11,"Miami","Clemson"
243180023,2004,12,"San Jose State","Boise State"
243180245,2004,12,"Texas A&M","Texas Tech"
243182638,2004,12,"UTEP","Rice"
243250077,2004,13,"Northwestern","Illinois"
243320066,2004,14,"Iowa State","Missouri"
243620278,2004,1,"Fresno State","Virginia"
252460356,2005,1,"Illinois","Rutgers"
252520195,2005,2,"Ohio","Pittsburgh"
252582628,2005,3,"TCU","Utah"
252592638,2005,3,"UTEP","Houston"
252600087,2005,3,"Notre Dame","Michigan State"
252600228,2005,3,"Clemson","Miami"
252670135,2005,4,"Minnesota","Purdue"
252670202,2005,4,"Tulsa","Memphis"
252670228,2005,4,"Clemson","Boston College"
252670252,2005,4,"BYU","TCU"
252672006,2005,4,"Akron","Northern Illinois"
252672117,2005,4,"Central Michigan","Eastern Michigan"
252690099,2005,4,"LSU","Tennessee"
252740127,2005,5,"Michigan State","Michigan"
252740158,2005,5,"Nebraska","Iowa State"
252740245,2005,5,"Texas A&M","Baylor"
252740276,2005,5,"Marshall","SMU"
252812711,2005,6,"Western Michigan","Ball State"
252880142,2005,7,"Missouri","Iowa State"
252880265,2005,7,"Washington State","UCLA"
252880277,2005,7,"West Virginia","Louisville"
252950099,2005,8,"LSU","Auburn"
252950201,2005,8,"Oklahoma","Baylor"
252952294,2005,8,"Iowa","Michigan"
253020024,2005,9,"Stanford","UCLA"
253090057,2005,10,"Florida","Vanderbilt"
253092483,2005,10,"Oregon","California"
253120276,2005,11,"Marshall","Southern Mississippi"
253160153,2005,11,"North Carolina","Maryland"
253160333,2005,11,"Alabama","LSU"
