stat_name,stat_displayValue,stat_label,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_displayName,team_shortDisplayName,team_color,team_alternateColor,team_logo,game_id
firstDowns,16,1st Downs,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
thirdDownEff,5-14,3rd down efficiency,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
fourthDownEff,0-0,4th down efficiency,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
totalYards,388,Total Yards,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
netPassingYards,200,Passing,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
completionAttempts,15-27,Comp-Att,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
yardsPerPass,6.6,Yards per pass,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
rushingYards,210,Rushing,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
rushingAttempts,38,Rushing Attempts,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
yardsPerRushAttempt,5.5,Yards per rush,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
totalPenaltiesYards,8-60,Penalties,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
turnovers,2,Turnovers,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
fumblesLost,1,Fumbles lost,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
interceptions,1,Interceptions thrown,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
possessionTime,20:38,Possession,2449,s:20~l:23~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,Bison,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,292460066
firstDowns,26,1st Downs,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
thirdDownEff,6-12,3rd down efficiency,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
fourthDownEff,0-0,4th down efficiency,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
totalYards,442,Total Yards,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
netPassingYards,246,Passing,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
completionAttempts,17-31,Comp-Att,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
yardsPerPass,7.7,Yards per pass,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
rushingYards,204,Rushing,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
rushingAttempts,40,Rushing Attempts,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
yardsPerRushAttempt,5.1,Yards per rush,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
totalPenaltiesYards,1-10,Penalties,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
turnovers,2,Turnovers,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
fumblesLost,2,Fumbles lost,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
interceptions,0,Interceptions thrown,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
possessionTime,16:20,Possession,66,s:20~l:23~t:66,iowa-state-cyclones,Iowa State,Cyclones,ISU,Iowa State Cyclones,Cyclones,660015,830b2c,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,292460066
firstDowns,6,1st Downs,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
thirdDownEff,1-10,3rd down efficiency,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
fourthDownEff,0-2,4th down efficiency,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
totalYards,152,Total Yards,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
netPassingYards,128,Passing,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
completionAttempts,14-27,Comp-Att,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
yardsPerPass,4.5,Yards per pass,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
rushingYards,31,Rushing,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
rushingAttempts,17,Rushing Attempts,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
yardsPerRushAttempt,1.8,Yards per rush,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
totalPenaltiesYards,8-70,Penalties,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
turnovers,2,Turnovers,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
fumblesLost,1,Fumbles lost,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
interceptions,1,Interceptions thrown,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
possessionTime,10:48,Possession,2483,s:20~l:23~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Ducks,044520,fee123,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,292460068
firstDowns,22,1st Downs,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
thirdDownEff,10-20,3rd down efficiency,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
fourthDownEff,2-4,4th down efficiency,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
totalYards,361,Total Yards,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
netPassingYards,207,Passing,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
completionAttempts,19-30,Comp-Att,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
yardsPerPass,6.6,Yards per pass,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
rushingYards,164,Rushing,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
rushingAttempts,59,Rushing Attempts,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
yardsPerRushAttempt,2.8,Yards per rush,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
totalPenaltiesYards,6-40,Penalties,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
turnovers,3,Turnovers,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
fumblesLost,3,Fumbles lost,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
interceptions,0,Interceptions thrown,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
possessionTime,25:52,Possession,68,s:20~l:23~t:68,boise-state-broncos,Boise State,Broncos,BSU,Boise State Broncos,Broncos,09347A,d8d9da,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,292460068
firstDowns,17,1st Downs,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
thirdDownEff,3-11,3rd down efficiency,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
fourthDownEff,0-0,4th down efficiency,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
totalYards,378,Total Yards,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
netPassingYards,323,Passing,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
completionAttempts,17-26,Comp-Att,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
yardsPerPass,10.7,Yards per pass,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
rushingYards,100,Rushing,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
rushingAttempts,31,Rushing Attempts,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
yardsPerRushAttempt,3.2,Yards per rush,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
totalPenaltiesYards,9-65,Penalties,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
turnovers,1,Turnovers,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
fumblesLost,1,Fumbles lost,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
interceptions,0,Interceptions thrown,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
possessionTime,17:27,Possession,2198,s:20~l:23~t:2198,eastern-kentucky-colonels,Eastern Kentucky,Colonels,EKY,Eastern Kentucky Colonels,Colonels,660819,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,292460084
firstDowns,22,1st Downs,84,s:20~l:23~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Hoosiers,7D110C,eeedeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,292460084
thirdDownEff,6-13,3rd down efficiency,84,s:20~l:23~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Hoosiers,7D110C,eeedeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,292460084
fourthDownEff,1-1,4th down efficiency,84,s:20~l:23~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Hoosiers,7D110C,eeedeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,292460084
totalYards,399,Total Yards,84,s:20~l:23~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Hoosiers,7D110C,eeedeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,292460084
netPassingYards,327,Passing,84,s:20~l:23~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Hoosiers,7D110C,eeedeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,292460084
